indicator,date,rate
open,2023-07-14 19:59:00,190.7
high,2023-07-14 19:59:00,190.73
low,2023-07-14 19:59:00,190.7
close,2023-07-14 19:59:00,190.72
open,2023-07-14 19:58:00,190.7
high,2023-07-14 19:58:00,190.73
low,2023-07-14 19:58:00,190.69
close,2023-07-14 19:58:00,190.729
open,2023-07-14 19:57:00,190.701
high,2023-07-14 19:57:00,190.73
low,2023-07-14 19:57:00,190.7
close,2023-07-14 19:57:00,190.7
open,2023-07-14 19:56:00,190.725
high,2023-07-14 19:56:00,190.73
low,2023-07-14 19:56:00,190.7
close,2023-07-14 19:56:00,190.715
open,2023-07-14 19:55:00,190.725
high,2023-07-14 19:55:00,190.74
low,2023-07-14 19:55:00,190.71
close,2023-07-14 19:55:00,190.73
open,2023-07-14 19:54:00,190.71
high,2023-07-14 19:54:00,190.75
low,2023-07-14 19:54:00,190.7
close,2023-07-14 19:54:00,190.725
open,2023-07-14 19:53:00,190.71
high,2023-07-14 19:53:00,190.74
low,2023-07-14 19:53:00,190.7
close,2023-07-14 19:53:00,190.74
open,2023-07-14 19:52:00,190.71
high,2023-07-14 19:52:00,190.72
low,2023-07-14 19:52:00,190.7
close,2023-07-14 19:52:00,190.72
open,2023-07-14 19:51:00,190.74
high,2023-07-14 19:51:00,190.74
low,2023-07-14 19:51:00,190.7
close,2023-07-14 19:51:00,190.72
open,2023-07-14 19:50:00,190.71
high,2023-07-14 19:50:00,190.74
low,2023-07-14 19:50:00,190.71
close,2023-07-14 19:50:00,190.73
open,2023-07-14 19:49:00,190.73
high,2023-07-14 19:49:00,190.75
low,2023-07-14 19:49:00,190.7
close,2023-07-14 19:49:00,190.71
open,2023-07-14 19:48:00,190.71
high,2023-07-14 19:48:00,190.74
low,2023-07-14 19:48:00,190.7
close,2023-07-14 19:48:00,190.715
open,2023-07-14 19:47:00,190.71
high,2023-07-14 19:47:00,190.75
low,2023-07-14 19:47:00,190.71
close,2023-07-14 19:47:00,190.725
open,2023-07-14 19:46:00,190.72
high,2023-07-14 19:46:00,190.73
low,2023-07-14 19:46:00,190.7
close,2023-07-14 19:46:00,190.71
open,2023-07-14 19:45:00,190.73
high,2023-07-14 19:45:00,190.73
low,2023-07-14 19:45:00,190.7
close,2023-07-14 19:45:00,190.73
open,2023-07-14 19:44:00,190.73
high,2023-07-14 19:44:00,190.75
low,2023-07-14 19:44:00,190.71
close,2023-07-14 19:44:00,190.71
open,2023-07-14 19:43:00,190.725
high,2023-07-14 19:43:00,190.75
low,2023-07-14 19:43:00,190.71
close,2023-07-14 19:43:00,190.73
open,2023-07-14 19:42:00,190.725
high,2023-07-14 19:42:00,190.75
low,2023-07-14 19:42:00,190.725
close,2023-07-14 19:42:00,190.725
open,2023-07-14 19:41:00,190.73
high,2023-07-14 19:41:00,190.75
low,2023-07-14 19:41:00,190.71
close,2023-07-14 19:41:00,190.725
open,2023-07-14 19:40:00,190.73
high,2023-07-14 19:40:00,190.75
low,2023-07-14 19:40:00,190.71
close,2023-07-14 19:40:00,190.71
open,2023-07-14 19:39:00,190.73
high,2023-07-14 19:39:00,190.76
low,2023-07-14 19:39:00,190.7
close,2023-07-14 19:39:00,190.735
open,2023-07-14 19:38:00,190.71
high,2023-07-14 19:38:00,190.76
low,2023-07-14 19:38:00,190.7
close,2023-07-14 19:38:00,190.7
open,2023-07-14 19:37:00,190.735
high,2023-07-14 19:37:00,190.76
low,2023-07-14 19:37:00,190.71
close,2023-07-14 19:37:00,190.735
open,2023-07-14 19:36:00,190.76
high,2023-07-14 19:36:00,190.76
low,2023-07-14 19:36:00,190.735
close,2023-07-14 19:36:00,190.735
open,2023-07-14 19:35:00,190.72
high,2023-07-14 19:35:00,190.735
low,2023-07-14 19:35:00,190.71
close,2023-07-14 19:35:00,190.71
open,2023-07-14 19:34:00,190.75
high,2023-07-14 19:34:00,190.76
low,2023-07-14 19:34:00,190.72
close,2023-07-14 19:34:00,190.72
open,2023-07-14 19:33:00,190.75
high,2023-07-14 19:33:00,190.76
low,2023-07-14 19:33:00,190.75
close,2023-07-14 19:33:00,190.755
open,2023-07-14 19:32:00,190.75
high,2023-07-14 19:32:00,190.755
low,2023-07-14 19:32:00,190.75
close,2023-07-14 19:32:00,190.75
open,2023-07-14 19:31:00,190.76
high,2023-07-14 19:31:00,190.76
low,2023-07-14 19:31:00,190.75
close,2023-07-14 19:31:00,190.755
open,2023-07-14 19:30:00,190.76
high,2023-07-14 19:30:00,190.76
low,2023-07-14 19:30:00,190.75
close,2023-07-14 19:30:00,190.75
open,2023-07-14 19:29:00,190.75
high,2023-07-14 19:29:00,190.76
low,2023-07-14 19:29:00,190.75
close,2023-07-14 19:29:00,190.76
open,2023-07-14 19:28:00,190.77
high,2023-07-14 19:28:00,190.77
low,2023-07-14 19:28:00,190.76
close,2023-07-14 19:28:00,190.76
open,2023-07-14 19:27:00,190.755
high,2023-07-14 19:27:00,190.76
low,2023-07-14 19:27:00,190.751
close,2023-07-14 19:27:00,190.76
open,2023-07-14 19:26:00,190.76
high,2023-07-14 19:26:00,190.76
low,2023-07-14 19:26:00,190.75
close,2023-07-14 19:26:00,190.75
open,2023-07-14 19:25:00,190.75
high,2023-07-14 19:25:00,190.77
low,2023-07-14 19:25:00,190.75
close,2023-07-14 19:25:00,190.76
open,2023-07-14 19:24:00,190.75
high,2023-07-14 19:24:00,190.77
low,2023-07-14 19:24:00,190.75
close,2023-07-14 19:24:00,190.77
open,2023-07-14 19:23:00,190.75
high,2023-07-14 19:23:00,190.76
low,2023-07-14 19:23:00,190.75
close,2023-07-14 19:23:00,190.76
open,2023-07-14 19:22:00,190.76
high,2023-07-14 19:22:00,190.77
low,2023-07-14 19:22:00,190.75
close,2023-07-14 19:22:00,190.76
open,2023-07-14 19:21:00,190.77
high,2023-07-14 19:21:00,190.77
low,2023-07-14 19:21:00,190.75
close,2023-07-14 19:21:00,190.75
open,2023-07-14 19:20:00,190.775
high,2023-07-14 19:20:00,190.775
low,2023-07-14 19:20:00,190.75
close,2023-07-14 19:20:00,190.76
open,2023-07-14 19:19:00,190.76
