Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/28/2022,12/29/2022,DELTA PALISADES PARK,Gas,Sale,-37.46,
12/28/2022,12/29/2022,H MART BK FORT LEE,Groceries,Sale,-34.26,
12/26/2022,12/28/2022,MOKBAR II  LLC,Food & Drink,Sale,-30.49,
12/23/2022,12/25/2022,SQ *ROAST'D COFFEE - FORT,Food & Drink,Sale,-18.58,
12/23/2022,12/25/2022,COSTCO WHSE #0729,Shopping,Sale,-36.99,
12/22/2022,12/23/2022,H MART BK FORT LEE,Groceries,Sale,-27.46,
12/21/2022,12/22/2022,H MART BK FORT LEE,Groceries,Sale,-18.84,
12/21/2022,12/22/2022,FUEL 4 LITTLE FERRY,Gas,Sale,-33.77,
12/20/2022,12/21/2022,COSTCO WHSE #0729,Shopping,Sale,-268.76,
12/18/2022,12/20/2022,DULCE DE LECHE BAKERY- E,Food & Drink,Sale,-9.59,
12/19/2022,12/20/2022,AllSaints USA Limited,Shopping,Sale,-153.00,
12/18/2022,12/20/2022,ANTIOCH RESTAURANT,Food & Drink,Sale,-71.78,
12/19/2022,12/19/2022,AMC ONLINE 9640,Entertainment,Sale,-23.46,
12/18/2022,12/19/2022,SQ *TENAFLY COFFEE COMPAN,Food & Drink,Sale,-14.50,
12/16/2022,12/18/2022,PIZZA HUT 036690,Food & Drink,Sale,-29.84,
12/17/2022,12/18/2022,Amazon.com*NY5YG82P3,Shopping,Sale,-64.08,
12/17/2022,12/18/2022,Payment Thank You-Mobile,,Payment,110.44,
12/16/2022,12/18/2022,APPLE.COM/BILL,Entertainment,Sale,-2.99,
12/14/2022,12/16/2022,DAVES HOT CHICKEN 1133,Food & Drink,Sale,-48.76,
12/15/2022,12/16/2022,Amazon.com*I09C95ZQ3,Shopping,Sale,-34.09,
12/14/2022,12/15/2022,APPLE.COM/BILL,Entertainment,Sale,-0.99,
12/14/2022,12/15/2022,AMC ONLINE 9640,Entertainment,Sale,-26.60,
12/14/2022,12/14/2022,Payment Thank You-Mobile,,Payment,2456.73,
12/11/2022,12/12/2022,Amazon seller repay,Shopping,Sale,-3.35,
12/12/2022,12/12/2022,AMC ONLINE 9640,Entertainment,Sale,-13.85,
12/06/2022,12/08/2022,EAGLE THAI CUISINE,Food & Drink,Sale,-36.82,
12/06/2022,12/07/2022,SP TEN THOUSAND,Shopping,Sale,-136.00,
12/05/2022,12/06/2022,COSTCO WHSE #0729,Shopping,Sale,-41.74,
12/05/2022,12/06/2022,MVMT,Shopping,Sale,-111.47,
12/04/2022,12/05/2022,MADEWELL.COM,Shopping,Sale,-42.00,
12/03/2022,12/05/2022,PAYBYPHONE CITY OF FOR,Travel,Sale,-1.40,
12/04/2022,12/05/2022,COURSRAVJR5C6L6ORY82I,Education,Sale,-29.50,
12/04/2022,12/05/2022,Amazon seller repay,Shopping,Sale,-7.85,
12/04/2022,12/05/2022,SUNOCO 8000628603,Gas,Sale,-40.71,
12/03/2022,12/05/2022,THE UPS STORE 6418,Personal,Sale,-11.62,
12/03/2022,12/04/2022,SQ *THUMBS UP RAMEN,Food & Drink,Sale,-44.01,
12/02/2022,12/04/2022,AMZN Mktp US*0X21X56I3,Shopping,Sale,-86.75,
12/03/2022,12/04/2022,AMERICAN DREAM,Entertainment,Sale,-89.61,
12/03/2022,12/04/2022,APPLE.COM/BILL,Entertainment,Sale,-2.99,
